Ad Poster ID,Date,Ad ID,Platform,Folder,Ad Name,Text,Left or right.leaning?,Product or Issue-reference?,State or National candidate/issue?,Ad Permitted (Y/N)
4,09/22/2018,11,Facebook,../ads/products/Democrat/Congressional Candidates (D) #2/Day 5,HARRIS,"Text: Check out this VINYL from the one and only Harris!, Website URL: https://api.bestbuy.com/click/-/1343963/pdp, Headline: Calling all music lovers, State: NJ, District: 11, Office: H, Keywords: east coast, record store, vinyl, cd",Democrat,Product,National,Y
4,09/22/2018,12,Google,../ads/products/Democrat/Congressional Candidates (D) #2/Day 5,HARRIS,"Text: Check out this VINYL from the one and only Harris!, Website URL: https://api.bestbuy.com/click/-/1343963/pdp, Headline: Calling all music lovers, State: NJ, District: 11, Office: H, Keywords: east coast, record store, vinyl, cd",Democrat,Product,National,Y
4,09/23/2018,13,Facebook,../ads/products/Democrat/Congressional Candidates (D) #2/Day 6,COLEMAN,"Text: Check out this VINYL from the one and only Coleman!, Website URL: https://api.bestbuy.com/click/-/1209743/pdp, Headline: Calling all music lovers, State: NJ, District: 12, Office: H, Keywords: east coast, record store, vinyl, cd",Democrat,Product,National,Y
4,09/23/2018,14,Google,../ads/products/Democrat/Congressional Candidates (D) #2/Day 6,COLEMAN,"Text: Check out this VINYL from the one and only Coleman!, Website URL: https://api.bestbuy.com/click/-/1209743/pdp, Headline: Calling all music lovers, State: NJ, District: 12, Office: H, Keywords: east coast, record store, vinyl, cd",Democrat,Product,National,Y
4,09/24/2018,15,Facebook,../ads/products/Democrat/Congressional Candidates (D) #2/Day 7,ANDERSON,"Text: Check out this VINYL from the one and only Anderson!, Website URL: https://api.bestbuy.com/click/-/16713718/pdp, Headline: Calling all music lovers, State: CT, District: 03, Office: H, Keywords: east coast, record store, vinyl, cd",Democrat,Product,National,Y
4,09/24/2018,16,Google,../ads/products/Democrat/Congressional Candidates (D) #2/Day 7,ANDERSON,"Text: Check out this VINYL from the one and only Anderson!, Website URL: https://api.bestbuy.com/click/-/16713718/pdp, Headline: Calling all music lovers, State: CT, District: 03, Office: H, Keywords: east coast, record store, vinyl, cd",Democrat,Product,National,Y
4,09/25/2018,17,Facebook,../ads/products/Democrat/Congressional Candidates (D) #2/Day 8,SANCHEZ,"Text: Check out this VINYL from the one and only Sanchez!, Website URL: https://api.bestbuy.com/click/-/15828491/pdp, Headline: Calling all music lovers, State: CT, District: 05, Office: H, Keywords: east coast, record store, vinyl, cd",Democrat,Product,National,Y
4,09/25/2018,18,Google,../ads/products/Democrat/Congressional Candidates (D) #2/Day 8,SANCHEZ,"Text: Check out this VINYL from the one and only Sanchez!, Website URL: https://api.bestbuy.com/click/-/15828491/pdp, Headline: Calling all music lovers, State: CT, District: 05, Office: H, Keywords: east coast, record store, vinyl, cd",Democrat,Product,National,Y
4,09/25/2018,19,Facebook,../ads/products/Democrat/Congressional Candidates (D) #2/Day 8,HAYES,"Text: Check out this VINYL from the one and only Hayes!, Website URL: https://api.bestbuy.com/click/-/17035548/pdp, Headline: Calling all music lovers, State: CT, District: 05, Office: H, Keywords: east coast, record store, vinyl, cd",Democrat,Product,National,Y
4,09/25/2018,20,Google,../ads/products/Democrat/Congressional Candidates (D) #2/Day 8,HAYES,"Text: Check out this VINYL from the one and only Hayes!, Website URL: https://api.bestbuy.com/click/-/17035548/pdp, Headline: Calling all music lovers, State: CT, District: 05, Office: H, Keywords: east coast, record store, vinyl, cd",Democrat,Product,National,Y
4,09/26/2018,21,Facebook,../ads/products/Democrat/Congressional Candidates (D) #2/Day 9,WELCH,"Text: Check out this VINYL from the one and only Welch!, Website URL: https://api.bestbuy.com/click/-/26849183/pdp, Headline: Calling all music lovers, State: VT, District: 00, Office: H, Keywords: east coast, record store, vinyl, cd",Democrat,Product,National,Y
4,09/26/2018,22,Google,../ads/products/Democrat/Congressional Candidates (D) #2/Day 9,WELCH,"Text: Check out this VINYL from the one and only Welch!, Website URL: https://api.bestbuy.com/click/-/26849183/pdp, Headline: Calling all music lovers, State: VT, District: 00, Office: H, Keywords: east coast, record store, vinyl, cd",Democrat,Product,National,Y
4,09/28/2018,23,Facebook,../ads/products/Democrat/Congressional Candidates (D) #2/Day 10,BUTTERFIELD,"Text: Check out this VINYL from the one and only Butterfield!, Website URL: https://api.bestbuy.com/click/-/16721175/pdp, Headline: Calling all music lovers, State: NC, District: 01, Office: H, Keywords: east coast, record store, vinyl, cd",Democrat,Product,National,Y
4,09/28/2018,24,Google,../ads/products/Democrat/Congressional Candidates (D) #2/Day 10,BUTTERFIELD,"Text: Check out this VINYL from the one and only Butterfield!, Website URL: https://api.bestbuy.com/click/-/16721175/pdp, Headline: Calling all music lovers, State: NC, District: 01, Office: H, Keywords: east coast, record store, vinyl, cd",Democrat,Product,National,Y
4,09/28/2018,25,Facebook,../ads/products/Democrat/Congressional Candidates (D) #2/Day 10,COLEMAN,"Text: Check out this VINYL from the one and only Coleman!, Website URL: https://api.bestbuy.com/click/-/1209743/pdp, Headline: Calling all music lovers, State: NC, District: 02, Office: H, Keywords: east coast, record store, vinyl, cd",Democrat,Product,National,Y
4,09/28/2018,26,Google,../ads/products/Democrat/Congressional Candidates (D) #2/Day 10,COLEMAN,"Text: Check out this VINYL from the one and only Coleman!, Website URL: https://api.bestbuy.com/click/-/1209743/pdp, Headline: Calling all music lovers, State: NC, District: 02, Office: H, Keywords: east coast, record store, vinyl, cd",Democrat,Product,National,Y
4,09/28/2018,27,Facebook,../ads/products/Democrat/Congressional Candidates (D) #2/Day 11,PRICE,"Text: Check out this VINYL from the one and only Price!, Website URL: https://api.bestbuy.com/click/-/16718875/pdp, Headline: Calling all music lovers, State: NC, District: 04, Office: H, Keywords: east coast, record store, vinyl, cd",Democrat,Product,National,Y
4,09/28/2018,28,Google,../ads/products/Democrat/Congressional Candidates (D) #2/Day 11,PRICE,"Text: Check out this VINYL from the one and only Price!, Website URL: https://api.bestbuy.com/click/-/16718875/pdp, Headline: Calling all music lovers, State: NC, District: 04, Office: H, Keywords: east coast, record store, vinyl, cd",Democrat,Product,National,Y
4,09/28/2018,29,Facebook,../ads/products/Democrat/Congressional Candidates (D) #2/Day 11,WATKINS,"Text: Check out this VINYL from the one and only Watkins!, Website URL: https://api.bestbuy.com/click/-/17752683/pdp, Headline: Calling all music lovers, State: NC, District: 04, Office: H, Keywords: east coast, record store, vinyl, cd",Democrat,Product,National,Y
4,09/28/2018,30,Google,../ads/products/Democrat/Congressional Candidates (D) #2/Day 11,WATKINS,"Text: Check out this VINYL from the one and only Watkins!, Website URL: https://api.bestbuy.com/click/-/17752683/pdp, Headline: Calling all music lovers, State: NC, District: 04, Office: H, Keywords: east coast, record store, vinyl, cd",Democrat,Product,National,Y
4,09/29/2018,31,Facebook,../ads/products/Democrat/Congressional Candidates (D) #2/Day 12,ADAMS,"Text: Check out this VINYL from the one and only Adams!, Website URL: https://api.bestbuy.com/click/-/16715262/pdp, Headline: Calling all music lovers, State: NC, District: 05, Office: H, Keywords: east coast, record store, vinyl, cd",Democrat,Product,National,Y
4,09/29/2018,33,Facebook,../ads/products/Democrat/Congressional Candidates (D) #2/Day 12,MARSHALL,"Text: Check out this VINYL from the one and only Marshall!, Website URL: https://api.bestbuy.com/click/-/20735617/pdp, Headline: Calling all music lovers, State: NC, District: 05, Office: H, Keywords: east coast, record store, vinyl, cd",Democrat,Product,National,Y
4,09/30/2018,35,Facebook,../ads/products/Democrat/Congressional Candidates (D) #2/Day 13,WATTS,"Text: Check out this VINYL from the one and only Watts!, Website URL: https://api.bestbuy.com/click/-/26525152/pdp, Headline: Calling all music lovers, State: NC, District: 06, Office: H, Keywords: east coast, record store, vinyl, cd",Democrat,Product,National,Y
4,10/01/2018,37,Facebook,../ads/products/Democrat/Congressional Candidates (D) #2/Day 14,HORTON,"Text: Check out this VINYL from the one and only Horton!, Website URL: https://api.bestbuy.com/click/-/21254822/pdp, Headline: Calling all music lovers, State: NC, District: 07, Office: H, Keywords: east coast, record store, vinyl, cd",Democrat,Product,National,Y
4,10/01/2018,39,Facebook,../ads/products/Democrat/Congressional Candidates (D) #2/Day 14,BROWN,"Text: Check out this 12 inch Vinyl Single from the one and only Brown!, Website URL: https://api.bestbuy.com/click/-/15833118/pdp, Headline: Calling all music lovers, State: NC, District: 10, Office: H, Keywords: east coast, record store, vinyl, cd",Democrat,Product,National,Y
4,09/18/2018,41,Facebook,../ads/issues/Democrat/Eastern U.S. National Parks/Day 1,Appalachian National Scenic Trail,"Text: Visit the Appalachian National Scenic Trail before it''s destroyed by climate change!, Website URL: https://www.nps.gov/appa/index.htm, Headline: Don''t forget about nature, State: CT, Keywords: east coast, national parks, nature'",Democrat,Issue,State,Y
4,09/18/2018,42,Google,../ads/issues/Democrat/Eastern U.S. National Parks/Day 1,Appalachian National Scenic Trail,"Text: Visit the Appalachian National Scenic Trail before it''s destroyed by climate change!, Website URL: https://www.nps.gov/appa/index.htm, Headline: Don''t forget about nature, State: CT, Keywords: east coast, national parks, nature'",Democrat,Issue,State,Y
4,09/18/2018,43,Facebook,../ads/issues/Democrat/Eastern U.S. National Parks/Day 1,Great Smoky Mountains National Park,"Text: Visit the Great Smoky Mountains National Park before it''s destroyed by climate change!, Website URL: https://www.nps.gov/grsm/index.htm, Headline: Don''t forget about nature, State: NC, Keywords: east coast, national parks, nature'",Democrat,Issue,State,Y
4,09/18/2018,44,Google,../ads/issues/Democrat/Eastern U.S. National Parks/Day 1,Great Smoky Mountains National Park,"Text: Visit the Great Smoky Mountains National Park before it''s destroyed by climate change!, Website URL: https://www.nps.gov/grsm/index.htm, Headline: Don''t forget about nature, State: NC, Keywords: east coast, national parks, nature'",Democrat,Issue,State,Y
4,09/19/2018,45,Facebook,../ads/issues/Democrat/Eastern U.S. National Parks/Day 2,Congaree National Park,"Text: Visit the Congaree National Park before it''s destroyed by climate change!, Website URL: https://www.nps.gov/cong/index.htm, Headline: Don''t forget about nature, State: SC, Keywords: east coast, national parks, nature'",Democrat,Issue,State,Y
4,09/19/2018,46,Google,../ads/issues/Democrat/Eastern U.S. National Parks/Day 2,Congaree National Park,"Text: Visit the Congaree National Park before it''s destroyed by climate change!, Website URL: https://www.nps.gov/cong/index.htm, Headline: Don''t forget about nature, State: SC, Keywords: east coast, national parks, nature'",Democrat,Issue,State,Y
