Ad Poster ID,Date,Platform,Ad ID,Folder,Ad Name,Text,Left or right.leaning?,Product or Issue-reference?,State or National candidate/issue?,Ad Permitted (Y/N)
3,9/28/2018,Google,32,../ads/products/Democrat/Gubernatorial Candidates (D) #1/Day 11,Jordan,"Text: Check out this VINYL from the one and only Jordan!, Website URL: https://api.bestbuy.com/click/-/20653659/pdp, Headline: Calling all music lovers, State: Idaho, District: n/a, Office: Governor, Keywords: record store, vinyl, cd",Democrat,Product,State,Y
3,9/29/2018,Facebook,33,../ads/products/Democrat/Gubernatorial Candidates (D) #1/Day 12,Jordan,"Text: Check out this VINYL from the one and only Jordan!, Website URL: https://api.bestbuy.com/click/-/21220459/pdp, Headline: Calling all music lovers, State: Idaho, District: n/a, Office: Governor, Keywords: record store, vinyl, cd",Democrat,Product,State,Y
3,9/29/2018,Google,34,../ads/products/Democrat/Gubernatorial Candidates (D) #1/Day 12,Jordan,"Text: Check out this VINYL from the one and only Jordan!, Website URL: https://api.bestbuy.com/click/-/21220459/pdp, Headline: Calling all music lovers, State: Idaho, District: n/a, Office: Governor, Keywords: record store, vinyl, cd",Democrat,Product,State,Y
3,9/29/2018,Facebook,35,../ads/products/Democrat/Gubernatorial Candidates (D) #1/Day 12,Kelly,"Text: Check out this VINYL from the one and only Kelly!, Website URL: https://api.bestbuy.com/click/-/20155634/pdp, Headline: Calling all music lovers, State: Kansas, District: n/a, Office: Governor, Keywords: record store, vinyl, cd",Democrat,Product,State,Y
3,9/29/2018,Google,36,../ads/products/Democrat/Gubernatorial Candidates (D) #1/Day 12,Kelly,"Text: Check out this VINYL from the one and only Kelly!, Website URL: https://api.bestbuy.com/click/-/20155634/pdp, Headline: Calling all music lovers, State: Kansas, District: n/a, Office: Governor, Keywords: record store, vinyl, cd",Democrat,Product,State,Y
3,9/30/2018,Facebook,37,../ads/products/Democrat/Gubernatorial Candidates (D) #1/Day 13,Kelly,"Text: Check out this VINYL from the one and only Kelly!, Website URL: https://api.bestbuy.com/click/-/21001614/pdp, Headline: Calling all music lovers, State: Kansas, District: n/a, Office: Governor, Keywords: record store, vinyl, cd",Democrat,Product,State,Y
3,9/30/2018,Google,38,../ads/products/Democrat/Gubernatorial Candidates (D) #1/Day 13,Kelly,"Text: Check out this VINYL from the one and only Kelly!, Website URL: https://api.bestbuy.com/click/-/21001614/pdp, Headline: Calling all music lovers, State: Kansas, District: n/a, Office: Governor, Keywords: record store, vinyl, cd",Democrat,Product,State,Y
3,10/1/2018,Facebook,39,../ads/products/Democrat/Gubernatorial Candidates (D) #1/Day 14,Kelly,"Text: Check out this VINYL from the one and only Kelly!, Website URL: https://api.bestbuy.com/click/-/22150257/pdp, Headline: Calling all music lovers, State: Kansas, District: n/a, Office: Governor, Keywords: record store, vinyl, cd",Democrat,Product,State,Y
3,10/1/2018,Google,40,../ads/products/Democrat/Gubernatorial Candidates (D) #1/Day 14,Kelly,"Text: Check out this VINYL from the one and only Kelly!, Website URL: https://api.bestbuy.com/click/-/22150257/pdp, Headline: Calling all music lovers, State: Kansas, District: n/a, Office: Governor, Keywords: record store, vinyl, cd",Democrat,Product,State,Y
3,9/17/2018,Facebook,41,../ads/products/Republican/Gubernatorial Candidates (R) #1/Day 1,Stapleton,"Text: Check out this VINYL from the one and only Stapleton!, Website URL: https://api.bestbuy.com/click/-/5661020/pdp, Headline: Calling all music lovers, State: Colorado, District: n/a, Office: Governor, Keywords: record store, vinyl, cd",Republican,Product,State,Y
3,9/17/2018,Google,42,../ads/products/Republican/Gubernatorial Candidates (R) #1/Day 1,Stapleton,"Text: Check out this VINYL from the one and only Stapleton!, Website URL: https://api.bestbuy.com/click/-/5661020/pdp, Headline: Calling all music lovers, State: Colorado, District: n/a, Office: Governor, Keywords: record store, vinyl, cd",Republican,Product,State,Y
3,9/18/2018,Facebook,43,../ads/products/Republican/Gubernatorial Candidates (R) #1/Day 2,Little,"Text: Check out this VINYL from the one and only Little!, Website URL: https://api.bestbuy.com/click/-/18073567/pdp, Headline: Calling all music lovers, State: Idaho, District: n/a, Office: Governor, Keywords: record store, vinyl, cd",Republican,Product,State,Y
3,9/18/2018,Google,44,../ads/products/Republican/Gubernatorial Candidates (R) #1/Day 2,Little,"Text: Check out this VINYL from the one and only Little!, Website URL: https://api.bestbuy.com/click/-/18073567/pdp, Headline: Calling all music lovers, State: Idaho, District: n/a, Office: Governor, Keywords: record store, vinyl, cd",Republican,Product,State,Y
3,9/18/2018,Facebook,45,../ads/products/Republican/Gubernatorial Candidates (R) #1/Day 2,Little,"Text: Check out this VINYL from the one and only Little!, Website URL: https://api.bestbuy.com/click/-/18185866/pdp, Headline: Calling all music lovers, State: Idaho, District: n/a, Office: Governor, Keywords: record store, vinyl, cd",Republican,Product,State,Y
3,9/18/2018,Google,46,../ads/products/Republican/Gubernatorial Candidates (R) #1/Day 2,Little,"Text: Check out this VINYL from the one and only Little!, Website URL: https://api.bestbuy.com/click/-/18185866/pdp, Headline: Calling all music lovers, State: Idaho, District: n/a, Office: Governor, Keywords: record store, vinyl, cd",Republican,Product,State,Y
3,9/19/2018,Facebook,47,../ads/products/Republican/Gubernatorial Candidates (R) #1/Day 3,Little,"Text: Check out this VINYL from the one and only Little!, Website URL: https://api.bestbuy.com/click/-/18460556/pdp, Headline: Calling all music lovers, State: Idaho, District: n/a, Office: Governor, Keywords: record store, vinyl, cd",Republican,Product,State,Y
3,9/19/2018,Google,48,../ads/products/Republican/Gubernatorial Candidates (R) #1/Day 3,Little,"Text: Check out this VINYL from the one and only Little!, Website URL: https://api.bestbuy.com/click/-/18460556/pdp, Headline: Calling all music lovers, State: Idaho, District: n/a, Office: Governor, Keywords: record store, vinyl, cd",Republican,Product,State,Y
3,9/19/2018,Facebook,49,../ads/products/Republican/Gubernatorial Candidates (R) #1/Day 3,Reynolds,"Text: Check out this VINYL from the one and only Reynolds!, Website URL: https://api.bestbuy.com/click/-/19507381/pdp, Headline: Calling all music lovers, State: Iowa, District: n/a, Office: Governor, Keywords: record store, vinyl, cd",Republican,Product,State,Y
3,9/19/2018,Google,50,../ads/products/Republican/Gubernatorial Candidates (R) #1/Day 3,Reynolds,"Text: Check out this VINYL from the one and only Reynolds!, Website URL: https://api.bestbuy.com/click/-/19507381/pdp, Headline: Calling all music lovers, State: Iowa, District: n/a, Office: Governor, Keywords: record store, vinyl, cd",Republican,Product,State,Y
3,9/20/2018,Facebook,51,../ads/products/Republican/Gubernatorial Candidates (R) #1/Day 4,Moody,"Text: Check out this VINYL from the one and only Moody!, Website URL: https://api.bestbuy.com/click/-/20792629/pdp, Headline: Calling all music lovers, State: Maine, District: n/a, Office: Governor, Keywords: record store, vinyl, cd",Republican,Product,State,Y
3,9/20/2018,Google,52,../ads/products/Republican/Gubernatorial Candidates (R) #1/Day 4,Moody,"Text: Check out this VINYL from the one and only Moody!, Website URL: https://api.bestbuy.com/click/-/20792629/pdp, Headline: Calling all music lovers, State: Maine, District: n/a, Office: Governor, Keywords: record store, vinyl, cd",Republican,Product,State,Y
3,9/21/2018,Facebook,53,../ads/products/Republican/Gubernatorial Candidates (R) #1/Day 5,Moody,"Text: Check out this VINYL from the one and only Moody!, Website URL: https://api.bestbuy.com/click/-/24905508/pdp, Headline: Calling all music lovers, State: Maine, District: n/a, Office: Governor, Keywords: record store, vinyl, cd",Republican,Product,State,Y
3,9/21/2018,Google,54,../ads/products/Republican/Gubernatorial Candidates (R) #1/Day 5,Moody,"Text: Check out this VINYL from the one and only Moody!, Website URL: https://api.bestbuy.com/click/-/24905508/pdp, Headline: Calling all music lovers, State: Maine, District: n/a, Office: Governor, Keywords: record store, vinyl, cd",Republican,Product,State,Y
3,9/23/2018,Facebook,55,../ads/products/Republican/Gubernatorial Candidates (R) #1/Day 6,Moody,"Text: Check out this VINYL from the one and only Moody!, Website URL: https://api.bestbuy.com/click/-/25065207/pdp, Headline: Calling all music lovers, State: Maine, District: n/a, Office: Governor, Keywords: record store, vinyl, cd",Republican,Product,State,Y
3,9/23/2018,Google,56,../ads/products/Republican/Gubernatorial Candidates (R) #1/Day 6,Moody,"Text: Check out this VINYL from the one and only Moody!, Website URL: https://api.bestbuy.com/click/-/25065207/pdp, Headline: Calling all music lovers, State: Maine, District: n/a, Office: Governor, Keywords: record store, vinyl, cd",Republican,Product,State,Y
